# 
Scope_Frequency	|Z|	arg(Z)	R	C	Q	L	gain	gain_log	phase	Scope_Amplitude_RMS	Scope_Amplitude_pkpk	THD	Gen_Frequency	Delay	a	
10000.0	58545.65148788906	-130.44439072846382	-37979.13313886301	-3.572072972375686e-10	1.1731532860696554	0.7091203373076101	0.766645468557814	-2.308108539666917	-94.75119590155334	0.017677955752228813	0.05000080955966691	0.0	10000.0	0.5	10000.0	10-06-24 12:19:59.065402
11220.184543019635	59029.11709348138	-121.30121022236574	-30667.81984939087	-2.8123429507926244e-10	1.6446328045988687	0.7154379671237282	0.6884887317286684	-3.242063266110849	-85.2663251403312	0.01745921259683219	0.04938211048559053	0.0	11220.184543019635	0.5	11220.184543019635	10-06-24 12:20:20.504537
12589.254117941675	58310.95970395975	-110.23654631189588	-20169.571436256952	-2.3106859126735874e-10	2.7125799328500713	0.691670648744616	0.6025141210645728	-4.400655402329722	-75.81185840689032	0.01718671013793957	0.048611357139298615	0.0	12589.254117941675	0.5	12589.254117941675	10-06-24 12:20:33.316891
14125.375446227541	55548.04280889656	-97.4227171094629	-7176.183465995187	-2.045531089170122e-10	7.675744565042538	0.6206320207793329	0.5146349842129424	-5.7700138870292825	-66.73741324066911	0.01687347723003442	0.047725400686216564	0.0	14125.375446227541	0.5	14125.375446227541	10-06-24 12:20:46.140989
15848.931924611134	50475.08342806677	-83.71631254323917	5524.564428578467	-2.0015208953725793e-10	9.081591448209888	0.5038254887850395	0.43198494922786373	-7.29062768319964	-58.287480404034156	0.016347001418256384	0.046236302219660796	0.0	15848.931924611134	0.5	15848.931924611134	10-06-24 12:20:59.243057
17782.79410038923	43879.61043709718	-69.6242745571265	15277.77971764631	-2.17579869871311e-10	2.6924098770725022	0.3681472414285022	0.35850292786611554	-8.91014586263462	-49.98658122953233	0.015946572052537064	0.04510371694011536	0.0	17782.79410038923	0.5	17782.79410038923	10-06-24 12:21:21.973256
19952.623149688796	35944.70962168272	-57.92892559021681	19085.59284243022	-2.618796623248354e-10	1.5959258332243513	0.2429620766999348	0.29242540261804917	-10.67969806946456	-43.58165531910326	0.015594032780238342	0.04410658529980737	0.0	19952.623149688796	0.5	19952.623149688796	10-06-24 12:21:34.804663
22387.2113856834	28926.78788146556	-47.37438899601208	19589.363499993717	-3.340130318214387e-10	1.0865166727879105	0.15131321248692514	0.2381420147004471	-12.463279530553583	-37.28272004391536	0.015186838155552699	0.042954864978295655	0.0	22387.2113856834	0.5	22387.2113856834	10-06-24 12:21:46.921736
25118.864315095794	22784.655879250276	-41.66921451431511	17020.035596321814	-4.182805282936653e-10	0.890004125418921	0.09597820322997543	0.19309621420239592	-14.284524816191118	-34.2934580801546	0.014697385584895053	0.04157048405117082	0.0	25118.864315095794	0.5	25118.864315095794	10-06-24 12:22:09.740890
28183.829312644535	18246.973005640084	-30.74640701680054	15682.150611138097	-6.0534806999473e-10	0.5948525792940109	0.05267870633564298	0.15722333065463112	-16.069660155404534	-26.136071626714475	0.01408603363749333	0.03984131962037338	0.0	28183.829312644535	0.5	28183.829312644535	10-06-24 12:22:22.458976
31622.776601683792	14569.480890355973	-23.732598116581666	13337.39466091202	-8.583096038252669e-10	0.4396480561221737	0.029511840247031816	0.1283779343169136	-17.830192333431036	-20.77091548698247	0.013462446951693206	0.03807755012362573	0.0	31622.776601683792	0.5	31622.776601683792	10-06-24 12:22:36.037844
35481.33892335755	11708.656669101145	-16.657499913752083	11217.307408122617	-1.3364760308345541e-09	0.2992060257435281	0.015054942080131478	0.10522938444116942	-19.557259401608388	-14.9289678953151	0.012821795461814842	0.036265514072144706	0.0	35481.33892335755	0.5	35481.33892335755	10-06-24 12:22:50.929633
39810.717055349734	9380.609200653871	-8.737283876029009	9271.749558407486	-2.805561545466362e-09	0.15368753292606102	0.005696662141832695	0.08583931106487856	-21.326275532380386	-7.990163723180193	0.012130203295910424	0.034309396030838685	0.0	39810.717055349734	0.5	39810.717055349734	10-06-24 12:23:05.279762
44668.3592150963	7333.659463389593	0.05502136478495457	7333.656081899158	5.059303494125057e-07	0.0009603042696306594	-2.509282344719569e-05	0.06832581424420651	-23.308303681646034	0.05126198581034941	0.011456625418121156	0.03240423009067054	0.0	44668.3592150963	0.5	44668.3592150963	10-06-24 12:23:19.759056
50118.72336272722	5525.188535266467	8.261117034660122	5467.856562745475	4.000024807927475e-09	0.14519121299396123	-0.00252102747319472	0.05238593249242959	-25.615706421066264	7.829844543697925	0.010798691864263818	0.030543312980659786	0.0	50118.72336272722	0.5	50118.72336272722	10-06-24 12:23:34.736059
56234.13251903491	4110.373140908881	14.580946357248514	3977.9901161321027	2.735102823543349e-09	0.2601254077963546	-0.0029286441516565573	0.0395292273490041	-28.061633488674815	14.01076455680537	0.010150885540761073	0.02871104000368252	0.0	56234.13251903491	0.5	56234.13251903491	10-06-24 12:23:48.839695
63095.73444801933	3073.301933506056	19.47717847435108	2897.4303100935913	2.461548785821101e-09	0.3536703768066653	-0.002584828989391555	0.029866144703264253	-30.49641670102102	18.906599938100893	0.009492036225443031	0.026847532729116514	0.0	63095.73444801933	0.5	63095.73444801933	10-06-24 12:24:02.704154
70794.57843841381	2376.8451841526817	27.184054475420794	2114.307303077839	2.0703570204284947e-09	0.5135784336286818	-0.0024411531131446704	0.02327500302694019	-32.66220507732265	26.574805852522562	0.008877994006569146	0.025110759061514283	0.0	70794.57843841381	0.5	70794.57843841381	10-06-24 12:24:28.721861
79432.82347242814	1829.2449547528508	27.861946159594908	1617.1919607716354	2.3437579628827383e-09	0.5286226862941338	-0.001712882225361401	0.018000696441373625	-34.894213837051204	27.379940021952134	0.008272772677051688	0.02339893463663215	0.0	79432.82347242814	0.5	79432.82347242814	10-06-24 12:24:44.173205
89125.09381337455	1416.2996481623934	32.14121405209061	1199.2367938260372	2.369992595443563e-09	0.6283016465496275	-0.001345529655721661	0.013994773455584916	-37.08068254815174	31.714624207233115	0.007734819201534475	0.02187737243462778	0.0	89125.09381337455	0.5	89125.09381337455	10-06-24 12:24:58.319447
100000.0	1094.6209981516602	34.45511690549342	902.5912363021353	2.569944539048477e-09	0.6861281981653291	-0.000985635897028463	0.010848089910199803	-39.29293447960325	34.10346640445881	0.007250515951556272	0.020507555985786696	0.0	100000.0	0.5	100000.0	10-06-24 12:25:13.140467
