# 
Scope_Frequency	base_freq	A2r	f2	scope_rms	scope_dBm	scope_pkpk	scope_thd	Pmax	lin_Pmax	base_P	base_dB	base_V	thd	lin_thd	Delay	a	
5000000.0	5000000.0	25510.0	5000000.0	0.0896950117944903	-7.934334217119354	0.2536958043139658	0.0890009829398987	-8.199999999999989	0.0001513561248436212	0.0001513561248436212	-8.199999999999989	0.08699313905234746	-21.55866083317946	0.08357318591619213	0.5	5000000.0	03-06-24 14:54:52.201919
5000000.0	5000000.0	25512.5	5000000.0	0.08919291922706868	-7.983092476616157	0.252275672077137	0.09205161825163596	-8.199999999999989	0.0001513561248436212	0.0001513561248436212	-8.199999999999989	0.08699313905234746	-21.542378791027687	0.0837299940696743	0.5	5000000.0	03-06-24 14:55:01.740778
5000000.0	5000000.0	25515.0	5000000.0	0.08831609805866611	-8.068902583172274	0.24979564730087558	0.09380821782641822	-8.199999999999989	0.0001513561248436212	0.0001513561248436212	-8.199999999999989	0.08699313905234746	-21.62222278513482	0.08296384295702254	0.5	5000000.0	03-06-24 14:55:11.279728
5000000.0	5000000.0	25517.5	5000000.0	0.08804064037881196	-8.096036187184934	0.24901653532745643	0.0870833298919382	-8.199999999999989	0.0001513561248436212	0.0001513561248436212	-8.199999999999989	0.08699313905234746	-21.587858264159916	0.08329272809191632	0.5	5000000.0	03-06-24 14:55:20.749592
5000000.0	5000000.0	25520.0	5000000.0	0.08765461524116326	-8.13420428827191	0.24792469135729703	0.09263284127043951	-8.199999999999989	0.0001513561248436212	0.0001513561248436212	-8.199999999999989	0.08699313905234746	-21.9878219197909	0.07954427063368393	0.5	5000000.0	03-06-24 14:55:31.532635
5000000.0	5000000.0	25522.5	5000000.0	0.0866650017529003	-8.232825040600204	0.24512564172407933	0.08805340481059279	-8.199999999999989	0.0001513561248436212	0.0001513561248436212	-8.199999999999989	0.08699313905234746	-21.959782316630157	0.07980146866412863	0.5	5000000.0	03-06-24 14:55:41.071517
5000000.0	5000000.0	25525.0	5000000.0	0.08605166872335433	-8.294514110735285	0.24339087394680875	0.09074111020629674	-8.599999999999994	0.00013803842646028865	0.00013803842646028865	-8.599999999999994	0.08307780282972362	-21.59487563608633	0.08322546267281462	0.5	5000000.0	03-06-24 14:55:50.610527
5000000.0	5000000.0	25527.5	5000000.0	0.08557138918507862	-8.343128393753878	0.24203243827328916	0.08849337747681311	-8.599999999999994	0.00013803842646028865	0.00013803842646028865	-8.599999999999994	0.08307780282972362	-21.50144614678461	0.08412550662307289	0.5	5000000.0	03-06-24 14:56:03.674766
5000000.0	5000000.0	25530.0	5000000.0	0.08474312817232603	-8.427610216852159	0.23968976235844996	0.09070539840665326	-8.599999999999994	0.00013803842646028865	0.00013803842646028865	-8.599999999999994	0.08307780282972362	-21.539710205712193	0.08375572257527948	0.5	5000000.0	03-06-24 14:56:13.282845
5000000.0	5000000.0	25532.5	5000000.0	0.0847031518282375	-8.431708626322434	0.23957669218248182	0.0952137508052668	-8.599999999999994	0.00013803842646028865	0.00013803842646028865	-8.599999999999994	0.08307780282972362	-21.481108950374768	0.0843227093870717	0.5	5000000.0	03-06-24 14:56:22.821954
5000000.0	5000000.0	25535.0	5000000.0	0.0839951464221559	-8.50461621330707	0.23757415048745364	0.08784176240573104	-8.599999999999994	0.00013803842646028865	0.00013803842646028865	-8.599999999999994	0.08307780282972362	-21.611515745312275	0.08306617500722416	0.5	5000000.0	03-06-24 14:56:32.361049
5000000.0	5000000.0	25537.5	5000000.0	0.083421256402402	-8.56416551453022	0.2359509443889606	0.09418584018555191	-8.599999999999994	0.00013803842646028865	0.00013803842646028865	-8.599999999999994	0.08307780282972362	-21.569178093288706	0.08347205303938479	0.5	5000000.0	03-06-24 14:56:41.899984
5000000.0	5000000.0	25540.0	5000000.0	0.0818409245734945	-8.730289502470038	0.23148109097797887	0.09570766097338046	-8.599999999999994	0.00013803842646028865	0.00013803842646028865	-8.599999999999994	0.08307780282972362	-21.59011408135644	0.08327109890027373	0.5	5000000.0	03-06-24 14:56:51.371616
5000000.0	5000000.0	25542.5	5000000.0	0.0823111870351924	-8.680522746775255	0.23281119408039516	0.0877922824659499	-8.599999999999994	0.00013803842646028865	0.00013803842646028865	-8.599999999999994	0.08307780282972362	-22.00137118909432	0.07942028488062022	0.5	5000000.0	03-06-24 14:57:00.908204
5000000.0	5000000.0	25545.0	5000000.0	0.08100840212403501	-8.819098725821092	0.22912636189996755	0.09172762332990957	-8.999999999999986	0.00012589254117941715	0.00012589254117941715	-8.999999999999986	0.07933868576533681	-21.56716318284083	0.08349141872650405	0.5	5000000.0	03-06-24 14:57:10.447831
5000000.0	5000000.0	25547.5	5000000.0	0.08113743789267296	-8.805274249260545	0.22949133016804557	0.09037034055664472	-8.999999999999986	0.00012589254117941715	0.00012589254117941715	-8.999999999999986	0.07933868576533681	-21.507613802156825	0.08406579219154468	0.5	5000000.0	03-06-24 14:57:19.986545
5000000.0	5000000.0	25550.0	5000000.0	0.080021984143564	-8.925513733363378	0.22633635052766593	0.09423485617590649	-8.999999999999986	0.00012589254117941715	0.00012589254117941715	-8.999999999999986	0.07933868576533681	-21.509762937353564	0.08404499450576614	0.5	5000000.0	03-06-24 14:57:29.525756
5000000.0	5000000.0	25552.5	5000000.0	0.08022609953513526	-8.903386483130687	0.2269136760377643	0.08246141953079195	-8.999999999999986	0.00012589254117941715	0.00012589254117941715	-8.999999999999986	0.07933868576533681	-21.524010694699935	0.08390724567823797	0.5	5000000.0	03-06-24 14:57:38.995269
5000000.0	5000000.0	25555.0	5000000.0	0.07899366324244265	-9.037854959125752	0.22342781979799092	0.096554471969557	-8.999999999999986	0.00012589254117941715	0.00012589254117941715	-8.999999999999986	0.07933868576533681	-21.52176725457266	0.0839289205096963	0.5	5000000.0	03-06-24 14:57:48.534099
5000000.0	5000000.0	25557.5	5000000.0	0.07811164845962856	-9.135383979254058	0.2209331052618524	0.09789660515443588	-8.999999999999986	0.00012589254117941715	0.00012589254117941715	-8.999999999999986	0.07933868576533681	-21.511634218093914	0.08402688987330349	0.5	5000000.0	03-06-24 14:57:58.073434
5000000.0	5000000.0	25560.0	5000000.0	0.07846999955617359	-9.09562704030299	0.22194667522350292	0.09102208965746063	-8.999999999999986	0.00012589254117941715	0.00012589254117941715	-8.999999999999986	0.07933868576533681	-21.549085617967446	0.08366536674268257	0.5	5000000.0	03-06-24 14:58:08.787315
5000000.0	5000000.0	25562.5	5000000.0	0.07811651668093907	-9.134842657745066	0.22094687467105628	0.08352666753660935	-9.399999999999991	0.00011481536214968848	0.00011481536214968848	-9.399999999999991	0.07576785669058103	-21.125471491749373	0.08784689696267137	0.5	5000000.0	03-06-24 14:58:18.326168
5000000.0	5000000.0	25565.0	5000000.0	0.0780504038553846	-9.142196951967694	0.22075987936196442	0.09327129912780366	-9.399999999999991	0.00011481536214968848	0.00011481536214968848	-9.399999999999991	0.07576785669058103	-21.11160890216552	0.08798721163776747	0.5	5000000.0	03-06-24 14:58:27.865277
5000000.0	5000000.0	25567.5	5000000.0	0.07649634941741497	-9.316885841124947	0.21636434963627893	0.0947129486424816	-9.399999999999991	0.00011481536214968848	0.00011481536214968848	-9.399999999999991	0.07576785669058103	-21.475338395341026	0.08437874861001854	0.5	5000000.0	03-06-24 14:58:37.404771
5000000.0	5000000.0	25570.0	5000000.0	0.07530900843985036	-9.45276145381809	0.2130060422090125	0.09106108449320423	-9.399999999999991	0.00011481536214968848	0.00011481536214968848	-9.399999999999991	0.07576785669058103	-21.496512583748462	0.08417330326796367	0.5	5000000.0	03-06-24 14:58:46.943074
5000000.0	5000000.0	25572.5	5000000.0	0.07584943290714645	-9.390653281239468	0.21453459343118933	0.09074132409189341	-9.799999999999997	0.00010471285480509002	0.00010471285480509002	-9.799999999999997	0.07235774139823949	-21.02300527655433	0.08888935117133287	0.5	5000000.0	03-06-24 14:58:56.413425
5000000.0	5000000.0	25575.0	5000000.0	0.07469250528967886	-9.524159512977455	0.21126230797657597	0.09793850731646664	-9.799999999999997	0.00010471285480509002	0.00010471285480509002	-9.799999999999997	0.07235774139823949	-21.133812877154583	0.08776257478997786	0.5	5000000.0	03-06-24 14:59:05.951979
