# 
ch1a	ch2a	ch3a	ch4a	ch1b	ch2b	ch3b	ch4b	Delay	
0.001029784	2719.45	2378.8	1442.0	0.0005742406	1767.65	1429.95	2104.45	0.1	08-12-23 16:34:54.047532
0.001023435	2722.0	2388.7	1447.25	0.0005583681	1765.35	1430.1	2107.7	0.1	08-12-23 16:34:54.248201
0.001013912	2710.05	2374.85	1432.95	0.0005536063	1756.5	1425.2	2087.05	0.1	08-12-23 16:34:54.449370
0.001040895	2714.75	2388.0	1435.3	0.0004980522	1762.45	1431.7	2106.1	0.1	08-12-23 16:34:54.648966
0.0009805793	2723.45	2385.15	1435.75	0.0004948777	1767.2	1438.7	2104.3	0.1	08-12-23 16:34:54.849043
0.0009964518	2724.3	2399.2	1441.85	0.0005488445	1773.8	1437.6	2105.95	0.1	08-12-23 16:34:55.050333
0.001028197	2714.8	2399.75	1440.3	0.0006043986	1773.5	1437.05	2111.0	0.1	08-12-23 16:34:55.250705
0.001007563	2707.75	2395.1	1430.5	0.0005678917	1770.3	1429.65	2101.65	0.1	08-12-23 16:34:55.451299
0.001031372	2716.8	2388.1	1436.5	0.0006028114	1772.0	1430.8	2112.8	0.1	08-12-23 16:34:55.651204
0.001004388	2717.4	2388.35	1436.55	0.0005964623	1780.6	1433.35	2105.5	0.1	08-12-23 16:34:55.851847
0.001115496	2714.4	2384.8	1440.05	0.0005488445	1777.3	1442.2	2111.35	0.1	08-12-23 16:34:56.052121
0.001101211	2717.85	2391.2	1432.75	0.0005504318	1773.7	1428.55	2103.65	0.1	08-12-23 16:34:56.251376
0.0009789921	2720.5	2393.45	1434.45	0.000575828	1763.5	1415.25	2096.1	0.1	08-12-23 16:34:56.450694
0.00102661	2725.65	2388.75	1439.75	0.0005345592	1755.9	1421.05	2096.5	0.1	08-12-23 16:34:56.650614
0.0009662939	2712.3	2385.95	1434.85	0.0005504318	1760.55	1426.1	2088.25	0.1	08-12-23 16:34:56.850471
0.001010737	2713.6	2381.95	1426.9	0.0005694789	1751.75	1415.05	2087.2	0.1	08-12-23 16:34:57.050654
0.001021848	2707.65	2389.15	1436.45	0.000515512	1756.95	1430.25	2094.0	0.1	08-12-23 16:34:57.255227
0.001144067	2716.15	2391.1	1432.05	0.0005805897	1764.4	1425.05	2092.8	0.1	08-12-23 16:34:57.455066
0.00110756	2715.65	2388.3	1425.85	0.0005218611	1743.45	1411.65	2076.05	0.1	08-12-23 16:34:57.655810
0.001109147	2722.45	2402.65	1442.05	0.0005266229	1761.85	1426.45	2102.6	0.1	08-12-23 16:34:57.856078
0.001080577	2714.5	2394.15	1427.5	0.0006123349	1777.35	1438.0	2113.95	0.1	08-12-23 16:34:58.056344
0.001025022	2693.15	2368.65	1406.5	0.0005583681	1760.15	1432.15	2107.3	0.1	08-12-23 16:34:58.256427
