# 
hvpsu1	hvpsu2	hvpsu3	hvpsu4	VDC	IDC	Delay	a	b	
-100.0	-91.6	-100.0	-91.6	-97.4413356	-0.0010591371948415476	2.0	-100.0	8.400000000000002	18-06-24 15:44:38.612927
-100.0	-91.3	-100.0	-91.3	-97.1344052	-0.001059461521543537	2.0	-100.0	8.700000000000003	18-06-24 15:44:42.923760
-100.0	-91.0	-100.0	-91.0	-96.8352204	-0.001059789133260022	2.0	-100.0	9.0	18-06-24 15:44:47.118817
-100.0	-90.7	-100.0	-90.7	-96.5359591	-0.0010601769509147256	2.0	-100.0	9.3	18-06-24 15:44:51.716022
-100.0	-90.4	-100.0	-90.4	-96.2295027	-0.0010604860381885435	2.0	-100.0	9.599999999999998	18-06-24 15:44:55.919494
-100.0	-90.1	-100.0	-90.1	-95.9310825	-0.0010608390482855143	2.0	-100.0	9.899999999999999	18-06-24 15:45:00.222057
-100.0	-89.8	-100.0	-89.8	-95.6319245	-0.001061210132960112	2.0	-100.0	10.2	18-06-24 15:45:04.416718
-100.0	-89.5	-100.0	-89.5	-95.3286738	-0.0010615707607717685	2.0	-100.0	10.5	18-06-24 15:45:08.629121
-100.0	-89.2	-100.0	-89.2	-95.029408	-0.0010619249645106468	2.0	-100.0	10.8	18-06-24 15:45:15.008865
-100.0	-88.9	-100.0	-88.9	-94.7312021	-0.0010622528761371588	2.0	-100.0	11.100000000000001	18-06-24 15:45:19.175770
-100.0	-88.6	-100.0	-88.6	-94.4243078	-0.001062633521943417	2.0	-100.0	11.399999999999999	18-06-24 15:45:23.458506
-100.0	-88.3	-100.0	-88.3	-94.1254556	-0.0010629736838948314	2.0	-100.0	11.7	18-06-24 15:45:27.686007
-100.0	-88.0	-100.0	-88.0	-93.8264065	-0.0010633150394881536	2.0	-100.0	12.0	18-06-24 15:45:31.877723
-100.0	-87.7	-100.0	-87.7	-93.5224816	-0.001063664612616215	2.0	-100.0	12.3	18-06-24 15:45:36.176445
-100.0	-87.4	-100.0	-87.4	-93.2247033	-0.0010640572108367489	2.0	-100.0	12.600000000000001	18-06-24 15:45:40.829590
-100.0	-87.1	-100.0	-87.1	-92.9261684	-0.0010643601739478157	2.0	-100.0	12.900000000000002	18-06-24 15:45:46.604854
-100.0	-86.8	-100.0	-86.8	-92.6186987	-0.0010646685154453662	2.0	-100.0	13.2	18-06-24 15:45:50.803633
-100.0	-86.5	-100.0	-86.5	-92.3198184	-0.0010650209257222834	2.0	-100.0	13.5	18-06-24 15:46:03.601089
-100.0	-86.2	-100.0	-86.2	-92.022116	-0.0010654350354893532	2.0	-100.0	13.799999999999997	18-06-24 15:46:07.814501
-100.0	-85.9	-100.0	-85.9	-91.7158066	-0.0010657375507347796	2.0	-100.0	14.099999999999998	18-06-24 15:46:12.073473
-100.0	-85.6	-100.0	-85.6	-91.4200273	-0.0010660412596221133	2.0	-100.0	14.399999999999999	18-06-24 15:46:16.274406
-100.0	-85.3	-100.0	-85.3	-91.121715	-0.001066349901029691	2.0	-100.0	14.7	18-06-24 15:46:20.515581
-100.0	-85.0	-100.0	-85.0	-90.8152842	-0.0010666870738778365	2.0	-100.0	15.0	18-06-24 15:46:24.714069
