# 
VDC	Amplitude	Frequency	Offset	ch1a	ch2a	ch3a	ch4a	ch1b	ch2b	ch3b	ch4b	Delay	
2.42920623e-05	0.0	1000000.0	5.0	0.001598023	2885.05	2615.2	1484.75	0.000753601	1926.45	1490.35	2050.9	0.1	08-12-23 17:29:31.028808
2.42920623e-05	0.0	1000000.0	5.0	0.001621832	2877.95	2609.9	1491.1	0.0007297921	1928.5	1492.6	2052.1	0.1	08-12-23 17:29:31.236674
2.42920623e-05	0.0	1000000.0	5.0	0.00162342	2882.6	2614.05	1493.7	0.0007964571	1932.0	1496.5	2045.75	0.1	08-12-23 17:29:31.542621
3.1766665e-05	0.0	1000000.0	5.0	0.001590087	2880.9	2614.45	1482.3	0.0007980443	1923.75	1485.5	2057.8	0.1	08-12-23 17:29:31.849250
2.80293637e-05	0.0	1000000.0	5.0	0.0015885	2883.75	2615.05	1490.2	0.000783759	1920.85	1492.55	2049.15	0.1	08-12-23 17:29:32.156563
2.0554761e-05	0.0	1000000.0	5.0	0.001590087	2886.5	2610.65	1490.0	0.0007599501	1926.55	1489.55	2052.6	0.1	08-12-23 17:29:32.470768
1.30801583e-05	0.0	1000000.0	5.0	0.001639292	2883.4	2610.7	1500.4	0.0007885208	1927.95	1481.9	2061.1	0.1	08-12-23 17:29:32.770784
1.30801583e-05	0.0	1000000.0	5.0	0.001653577	2885.25	2620.85	1492.3	0.0008170915	1925.05	1492.45	2054.3	0.1	08-12-23 17:29:33.075005
2.80293637e-05	0.0	1000000.0	5.0	0.00163453	2890.25	2622.85	1494.05	0.0007901081	1927.3	1490.65	2056.1	0.1	08-12-23 17:29:33.284778
1.30801583e-05	0.0	1000000.0	5.0	0.001612309	2884.4	2617.15	1488.8	0.0007504265	1925.15	1491.85	2055.55	0.1	08-12-23 17:29:33.591332
1.68174596e-05	0.0	1000000.0	5.0	0.001631356	2881.35	2615.8	1485.5	0.0007964571	1931.3	1487.25	2054.05	0.1	08-12-23 17:29:33.897919
2.80293637e-05	0.0	1000000.0	5.0	0.001621832	2882.65	2619.65	1488.4	0.0007694737	1927.4	1487.7	2047.7	0.1	08-12-23 17:29:34.131212
3.55039664e-05	0.0	1000000.0	5.0	0.001618658	2874.9	2618.6	1483.15	0.0007631246	1934.0	1488.65	2057.95	0.1	08-12-23 17:29:35.156954
1.30801583e-05	0.0	1000000.0	5.0	0.001602785	2883.0	2609.95	1488.85	0.0007901081	1936.75	1478.85	2051.45	0.1	08-12-23 17:29:46.058689
2.0554761e-05	0.0	1000000.0	5.0	0.001618658	2881.55	2613.8	1479.25	0.0007662991	1931.85	1480.35	2052.5	0.1	08-12-23 17:29:49.075393
5.60555558e-06	0.0	1000000.0	5.0	0.001617071	2873.2	2613.1	1494.7	0.0008234406	1932.5	1479.35	2050.35	0.1	08-12-23 17:29:50.087522
3.1766665e-05	0.0	1000000.0	5.0	0.001607547	2878.15	2613.8	1493.0	0.0007662991	1934.55	1483.75	2056.4	0.1	08-12-23 17:29:56.551130
2.42920623e-05	0.0	1000000.0	5.0	0.00165199	2884.15	2616.85	1492.3	0.0007551883	1931.3	1485.75	2055.2	0.1	08-12-23 17:29:59.402579
2.42920623e-05	0.0	1000000.0	5.0	0.001594849	2878.35	2622.5	1491.4	0.0007758227	1927.4	1483.3	2051.8	0.1	08-12-23 17:30:00.841015
3.1766665e-05	0.0	1000000.0	5.0	0.001593261	2879.6	2612.4	1481.75	0.0007662991	1935.95	1485.6	2053.0	0.1	08-12-23 17:30:03.301990
2.42920623e-05	0.0	1000000.0	5.0	0.001621832	2878.7	2619.1	1494.7	0.0007980443	1933.1	1480.75	2055.55	0.1	08-12-23 17:30:03.703744
3.55039664e-05	0.0	1000000.0	5.0	0.001632943	2879.65	2611.35	1487.6	0.0007504265	1931.25	1487.8	2054.55	0.1	08-12-23 17:30:05.539829
3.55039664e-05	0.0	1000000.0	5.0	0.001663101	2881.2	2619.1	1486.9	0.0007599501	1928.5	1480.8	2058.35	0.1	08-12-23 17:30:05.849232
2.0554761e-05	0.0	1000000.0	5.0	0.001615483	2883.85	2612.65	1490.65	0.0008012188	1928.25	1481.85	2058.5	0.1	08-12-23 17:30:06.152343
3.1766665e-05	0.0	1000000.0	5.0	0.001590087	2875.7	2611.4	1485.0	0.000734554	1933.0	1482.85	2049.85	0.1	08-12-23 17:30:06.361437
2.42920623e-05	0.0	1000000.0	5.0	0.001598023	2877.75	2611.85	1488.95	0.0007901081	1926.3	1484.1	2045.25	0.1	08-12-23 17:30:06.670965
2.42920623e-05	0.0	1000000.0	5.0	0.001599611	2876.25	2615.2	1494.8	0.0007631246	1928.55	1479.85	2046.75	0.1	08-12-23 17:30:06.971741
2.42920623e-05	0.0	1000000.0	5.0	0.00163453	2873.1	2613.95	1492.85	0.0007440776	1932.3	1486.05	2045.0	0.1	08-12-23 17:30:07.180164
1.68174596e-05	0.0	1000000.0	5.0	0.001598023	2877.6	2618.4	1484.1	0.0007726482	1929.9	1486.45	2053.05	0.1	08-12-23 17:30:07.485618
1.30801583e-05	0.0	1000000.0	5.0	0.00162342	2880.85	2612.75	1486.55	0.0008012188	1930.25	1482.2	2049.15	0.1	08-12-23 17:30:07.726641
1.68174596e-05	0.0	1000000.0	5.0	0.00160596	2873.25	2614.25	1488.9	0.0007980443	1921.2	1481.5	2051.9	0.1	08-12-23 17:30:07.984228
2.80293637e-05	0.0	1000000.0	5.0	0.001620245	2881.75	2614.2	1491.6	0.0007726482	1926.8	1480.95	2054.3	0.1	08-12-23 17:30:08.202113
2.0554761e-05	0.0	1000000.0	5.0	0.001609134	2880.4	2614.2	1486.45	0.0007932826	1926.8	1486.75	2053.1	0.1	08-12-23 17:30:10.882222
2.0554761e-05	0.0	1000000.0	5.0	0.001663101	2883.0	2621.65	1489.45	0.0007520138	1928.95	1485.15	2057.3	0.1	08-12-23 17:30:11.527436
4.67158704e-05	0.0	1000000.0	5.0	0.001620245	2878.5	2619.35	1487.45	0.0007694737	1927.65	1480.5	2051.9	0.1	08-12-23 17:30:12.204552
2.0554761e-05	0.0	1000000.0	5.0	0.00160596	2877.9	2617.45	1490.5	0.0007853463	1930.65	1489.0	2062.25	0.1	08-12-23 17:30:13.984185
3.1766665e-05	0.0	1000000.0	5.0	0.001625007	2882.8	2621.85	1489.3	0.0007916953	1935.15	1488.3	2056.5	0.1	08-12-23 17:30:19.264640
3.55039664e-05	0.0	1000000.0	5.0	0.001585325	2878.8	2617.9	1490.0	0.0007678865	1930.2	1485.55	2058.95	0.1	08-12-23 17:30:20.097121
2.0554761e-05	0.0	1000000.0	5.0	0.001629769	2875.6	2616.65	1498.25	0.0007647119	1930.5	1481.95	2055.65	0.1	08-12-23 17:30:21.108963
3.1766665e-05	0.0	1000000.0	5.0	0.001639292	2880.4	2615.8	1492.05	0.0007488393	1935.85	1484.7	2054.55	0.1	08-12-23 17:30:22.063310
1.30801583e-05	0.0	1000000.0	5.0	0.001602785	2879.6	2619.55	1484.75	0.0007789973	1935.25	1489.7	2052.7	0.1	08-12-23 17:30:24.696184
3.1766665e-05	0.0	1000000.0	5.0	0.001632943	2871.6	2613.1	1486.6	0.0007599501	1936.55	1489.25	2054.75	0.1	08-12-23 17:30:25.298680
1.68174596e-05	0.0	1000000.0	5.0	0.001615483	2885.1	2614.8	1488.55	0.0008091551	1926.95	1486.3	2056.25	0.1	08-12-23 17:30:27.771751
3.55039664e-05	0.0	1000000.0	5.0	0.001647228	2878.9	2615.5	1495.2	0.0007329666	1937.75	1483.8	2058.4	0.1	08-12-23 17:30:28.378607
3.1766665e-05	0.0	1000000.0	5.0	0.001625007	2879.2	2621.1	1490.05	0.0007853463	1930.8	1491.5	2062.7	0.1	08-12-23 17:30:30.121229
2.80293637e-05	0.0	1000000.0	5.0	0.001599611	2882.65	2619.45	1497.5	0.0007916953	1933.05	1481.85	2057.55	0.1	08-12-23 17:30:30.534238
1.30801583e-05	0.0	1000000.0	5.0	0.00165199	2879.75	2615.5	1485.8	0.0008186787	1927.3	1484.85	2053.35	0.1	08-12-23 17:30:31.383626
3.1766665e-05	0.0	1000000.0	5.0	0.001563104	2881.2	2624.6	1492.05	0.0007901081	1922.15	1484.7	2050.7	0.1	08-12-23 17:30:32.790847
2.80293637e-05	0.0	1000000.0	5.0	0.001629769	2882.85	2623.9	1492.8	0.0007662991	1937.15	1481.25	2049.05	0.1	08-12-23 17:30:34.003387
2.80293637e-05	0.0	1000000.0	5.0	0.00163453	2884.0	2608.1	1487.6	0.0008282023	1922.75	1484.3	2054.75	0.1	08-12-23 17:30:36.790853
3.1766665e-05	0.0	1000000.0	5.0	0.001594849	2883.2	2611.05	1490.85	0.0007901081	1925.6	1486.6	2049.65	0.1	08-12-23 17:30:37.503905
3.1766665e-05	0.0	1000000.0	5.0	0.001650403	2886.15	2613.2	1486.85	0.0007488393	1927.2	1481.1	2056.8	0.1	08-12-23 17:30:38.068163
2.80293637e-05	0.0	1000000.0	5.0	0.001631356	2878.6	2622.8	1490.25	0.0007662991	1928.45	1485.7	2056.4	0.1	08-12-23 17:30:40.050112
1.68174596e-05	0.0	1000000.0	5.0	0.001629769	2879.2	2621.2	1481.9	0.0007599501	1933.2	1491.9	2054.05	0.1	08-12-23 17:30:40.263384
3.1766665e-05	0.0	1000000.0	5.0	0.001607547	2875.0	2622.95	1487.45	0.0007869335	1932.6	1488.5	2052.1	0.1	08-12-23 17:30:40.471438
