# 
Voltage 1	Current 1	Voltmeter 1	Delay	
1.0	0.0	-0.0001804221	0.1	04-12-23 12:17:44.700791
1.0	0.0	-0.000187168	0.1	04-12-23 12:17:44.911525
1.0	0.0	-0.0001908187	0.1	04-12-23 12:17:45.110790
1.0	0.0	-0.0001717715	0.1	04-12-23 12:17:45.329073
1.0	0.0	-0.0001682796	0.1	04-12-23 12:17:45.520275
1.0	0.0	-0.000181057	0.1	04-12-23 12:17:45.726171
1.0	0.0	-0.0001828823	0.1	04-12-23 12:17:45.931181
1.0	0.0	-0.0001767714	0.1	04-12-23 12:17:46.135244
1.0	0.0	-0.0001788348	0.1	04-12-23 12:17:46.339518
1.0	0.0	-0.0001835173	0.1	04-12-23 12:17:46.544266
1.0	0.0	-0.003734932	0.1	04-12-23 12:17:46.759602
1.0	0.0	7.472993e-05	0.1	04-12-23 12:17:46.974366
1.0	0.0	-0.001126826	0.1	04-12-23 12:17:47.159424
1.0	0.0	0.0002352813	0.1	04-12-23 12:17:47.466380
1.0	0.0	-0.001176031	0.1	04-12-23 12:17:47.678119
1.0	0.0	-0.0009006413	0.1	04-12-23 12:17:47.888078
1.0	0.0	-0.001419199	0.1	04-12-23 12:17:48.081284
1.0	0.0	-0.001298964	0.1	04-12-23 12:17:48.285254
1.0	0.0	-0.0007877082	0.1	04-12-23 12:17:48.491091
1.0	0.0	-0.0001506611	0.1	04-12-23 12:17:48.696112
1.0	0.0	0.0001631405	0.1	04-12-23 12:17:48.993349
1.0	0.0	0.00105399	0.1	04-12-23 12:17:49.222159
1.0	0.0	-0.0005117626	0.1	04-12-23 12:17:49.411891
1.0	0.0	-0.0009335771	0.1	04-12-23 12:17:49.718233
1.0	0.0	-0.0005770784	0.1	04-12-23 12:17:49.924101
1.0	0.0	0.0007023326	0.1	04-12-23 12:17:50.241610
1.0	0.0	0.004147957	0.1	04-12-23 12:17:50.436376
1.0	0.0	-0.0001924059	0.1	04-12-23 12:17:50.641808
1.0	0.0	-0.0001820094	0.1	04-12-23 12:17:50.847166
1.0	0.0	-0.0002072468	0.1	04-12-23 12:17:51.049931
