# 
T	Delay	
47.7374498	0.1	06-03-24 14:33:16.276025
47.7320007	0.1	06-03-24 14:33:16.460398
47.723827	0.1	06-03-24 14:33:16.659206
47.7165615	0.1	06-03-24 14:33:16.866623
47.7074797	0.1	06-03-24 14:33:17.074993
47.703847	0.1	06-03-24 14:33:17.279671
47.7636182	0.1	06-03-24 14:33:17.484678
47.7545364	0.1	06-03-24 14:33:17.685863
47.7445464	0.1	06-03-24 14:33:17.891758
47.7345563	0.1	06-03-24 14:33:18.197096
47.7218418	0.1	06-03-24 14:33:18.319398
47.7100354	0.1	06-03-24 14:33:18.606421
47.6475396	0.1	06-03-24 14:33:18.729005
47.6448151	0.1	06-03-24 14:33:18.928792
47.6955045	0.1	06-03-24 14:33:19.220998
47.6855145	0.1	06-03-24 14:33:19.427064
47.6809735	0.1	06-03-24 14:33:19.639253
47.6746163	0.1	06-03-24 14:33:19.839008
47.6121205	0.1	06-03-24 14:33:20.044241
47.6075796	0.1	06-03-24 14:33:20.249782
47.717132	0.1	06-03-24 14:33:20.552634
47.633748	0.1	06-03-24 14:33:20.758337
