# 
ch1_10V	ch2_1V	time	Delay	a	
1624.6	1702.267	1718887731.8180635	0.2	0	20-06-24 14:48:51.818081
1622.333	1698.533	1718887732.0579762	0.2	0	20-06-24 14:48:52.058021
1618.333	1694.933	1718887732.298448	0.2	0	20-06-24 14:48:52.298470
1627.067	1700.8	1718887732.5376225	0.2	0	20-06-24 14:48:52.537640
1621.533	1699.0	1718887732.7747366	0.2	0	20-06-24 14:48:52.774756
1626.6	1692.8	1718887733.0138328	0.2	0	20-06-24 14:48:53.013862
1624.133	1699.067	1718887733.2534828	0.2	0	20-06-24 14:48:53.253504
1620.333	1691.933	1718887733.493122	0.2	0	20-06-24 14:48:53.493154
1625.0	1697.067	1718887733.7306685	0.2	0	20-06-24 14:48:53.730687
1624.533	1687.2	1718887733.9706333	0.2	0	20-06-24 14:48:53.970654
1626.6	1705.867	1718887734.2106907	0.2	0	20-06-24 14:48:54.210708
1628.333	1700.0	1718887734.4494865	0.2	0	20-06-24 14:48:54.449504
1623.733	1700.067	1718887734.6876857	0.2	0	20-06-24 14:48:54.687710
1622.867	1701.867	1718887734.9266715	0.2	0	20-06-24 14:48:54.926690
1627.267	1696.0	1718887735.166571	0.2	0	20-06-24 14:48:55.166596
1617.6	1700.6	1718887735.4058385	0.2	0	20-06-24 14:48:55.405870
1618.867	1688.467	1718887735.6439667	0.2	0	20-06-24 14:48:55.644009
1611.267	1700.267	1718887735.8839583	0.2	0	20-06-24 14:48:55.883981
1619.067	1698.667	1718887736.1235805	0.2	0	20-06-24 14:48:56.123616
1618.467	1699.867	1718887736.362359	0.2	0	20-06-24 14:48:56.362381
1622.6	1704.267	1718887736.6028616	0.2	0	20-06-24 14:48:56.602883
1621.733	1697.2	1718887736.8427799	0.2	0	20-06-24 14:48:56.842797
1621.0	1695.8	1718887737.082494	0.2	0	20-06-24 14:48:57.082524
1619.867	1705.0	1718887737.323291	0.2	0	20-06-24 14:48:57.323324
1617.667	1693.333	1718887737.5631268	0.2	0	20-06-24 14:48:57.563158
1624.0	1696.067	1718887737.8005767	0.2	0	20-06-24 14:48:57.800595
1621.733	1704.267	1718887738.0408466	0.2	0	20-06-24 14:48:58.040900
1621.933	1696.333	1718887738.2785032	0.2	0	20-06-24 14:48:58.278522
1626.333	1691.533	1718887738.5190952	0.2	0	20-06-24 14:48:58.519118
1624.333	1695.2	1718887738.7572117	0.2	0	20-06-24 14:48:58.757225
1618.667	1696.4	1718887738.9966457	0.2	0	20-06-24 14:48:58.996683
1624.667	1692.0	1718887739.2312248	0.2	0	20-06-24 14:48:59.231252
1624.2	1696.6	1718887739.4713137	0.2	0	20-06-24 14:48:59.471334
1624.0	1702.4	1718887739.7116575	0.2	0	20-06-24 14:48:59.711691
1620.667	1700.267	1718887739.9482765	0.2	0	20-06-24 14:48:59.948304
1627.2	1811.4	1718887740.187191	0.2	0	20-06-24 14:49:00.187208
1620.933	1700.8	1718887740.4272487	0.2	0	20-06-24 14:49:00.427266
1628.733	1697.0	1718887740.6669674	0.2	0	20-06-24 14:49:00.667002
1624.4	1702.6	1718887740.9064648	0.2	0	20-06-24 14:49:00.906482
1624.4	1694.267	1718887741.1462283	0.2	0	20-06-24 14:49:01.146251
1626.0	1691.733	1718887741.3860643	0.2	0	20-06-24 14:49:01.386086
1621.867	1700.733	1718887741.6253896	0.2	0	20-06-24 14:49:01.625408
1626.867	1696.867	1718887741.865616	0.2	0	20-06-24 14:49:01.865633
1621.133	1700.533	1718887742.1046097	0.2	0	20-06-24 14:49:02.104641
1622.4	1705.0	1718887742.3445225	0.2	0	20-06-24 14:49:02.344539
1618.133	1697.6	1718887742.58312	0.2	0	20-06-24 14:49:02.583137
