# 
ch1a_avglen	ch1_10V	ch2_1V	time	Delay	a	
250	1625.484	1649.244	1717767806.07109	0.25	6636.000000000001	07-06-24 15:43:26.071124
250	1626.308	1647.74	1717767806.3602645	0.25	6637.0	07-06-24 15:43:26.360300
250	1626.248	1647.052	1717767806.649089	0.25	6638.0	07-06-24 15:43:26.649126
250	1625.968	1644.748	1717767806.93767	0.25	6639.0	07-06-24 15:43:26.937690
250	1626.72	1645.824	1717767807.223774	0.25	6640.0	07-06-24 15:43:27.223795
250	1626.004	1646.264	1717767807.5127845	0.25	6641.000000000001	07-06-24 15:43:27.512824
250	1626.532	1646.98	1717767807.802381	0.25	6642.0	07-06-24 15:43:27.802417
250	1625.98	1648.648	1717767808.0917287	0.25	6643.0	07-06-24 15:43:28.091749
250	1626.164	1649.7	1717767808.3808594	0.25	6644.0	07-06-24 15:43:28.380880
250	1626.416	1651.1	1717767808.6708035	0.25	6645.0	07-06-24 15:43:28.670842
250	1626.452	1650.352	1717767808.960306	0.25	6646.000000000001	07-06-24 15:43:28.960333
250	1626.564	1647.732	1717767809.2501762	0.25	6647.0	07-06-24 15:43:29.250198
250	1625.46	1645.336	1717767809.5400486	0.25	6648.0	07-06-24 15:43:29.540069
250	1624.264	1641.572	1717767809.830074	0.25	6649.0	07-06-24 15:43:29.830108
250	1624.12	1638.572	1717767810.1183264	0.25	6650.0	07-06-24 15:43:30.118347
250	1623.592	1636.86	1717767810.4066384	0.25	6651.000000000001	07-06-24 15:43:30.406659
250	1624.184	1634.54	1717767810.695576	0.25	6652.0	07-06-24 15:43:30.695596
250	1625.376	1633.052	1717767810.9839509	0.25	6653.0	07-06-24 15:43:30.983971
250	1625.604	1633.896	1717767811.2719984	0.25	6654.0	07-06-24 15:43:31.272014
250	1625.472	1635.784	1717767811.5591857	0.25	6655.0	07-06-24 15:43:31.559208
250	1625.336	1640.512	1717767811.8495617	0.25	6656.000000000001	07-06-24 15:43:31.849582
250	1625.28	1641.952	1717767812.1348352	0.25	6657.0	07-06-24 15:43:32.134879
250	1626.028	1645.724	1717767812.4244306	0.25	6658.0	07-06-24 15:43:32.424447
250	1626.136	1647.46	1717767812.7101767	0.25	6659.0	07-06-24 15:43:32.710197
250	1626.252	1649.22	1717767812.999893	0.25	6660.0	07-06-24 15:43:32.999913
250	1626.188	1649.96	1717767813.2895148	0.25	6661.000000000001	07-06-24 15:43:33.289553
250	1626.116	1651.628	1717767813.5788953	0.25	6662.0	07-06-24 15:43:33.578946
250	1627.228	1653.74	1717767813.8677652	0.25	6663.0	07-06-24 15:43:33.867803
250	1625.56	1656.2	1717767814.15657	0.25	6664.0	07-06-24 15:43:34.156598
250	1624.332	1654.932	1717767814.4463797	0.25	6665.0	07-06-24 15:43:34.446394
250	1623.936	1652.736	1717767814.7335393	0.25	6666.000000000001	07-06-24 15:43:34.733568
250	1624.16	1650.712	1717767815.0234401	0.25	6667.0	07-06-24 15:43:35.023460
250	1625.424	1648.772	1717767815.3126926	0.25	6668.0	07-06-24 15:43:35.312712
250	1626.424	1647.772	1717767815.6016965	0.25	6669.0	07-06-24 15:43:35.601716
250	1626.764	1647.136	1717767815.890357	0.25	6670.0	07-06-24 15:43:35.890377
250	1626.788	1645.68	1717767816.1804738	0.25	6671.000000000001	07-06-24 15:43:36.180493
250	1627.24	1645.548	1717767816.4699142	0.25	6672.0	07-06-24 15:43:36.469948
250	1628.78	1644.452	1717767816.759037	0.25	6673.0	07-06-24 15:43:36.759056
250	1627.82	1643.62	1717767817.0485132	0.25	6674.0	07-06-24 15:43:37.048536
250	1627.488	1642.216	1717767817.3386872	0.25	6675.0	07-06-24 15:43:37.338715
250	1625.58	1641.036	1717767817.6276886	0.25	6676.000000000001	07-06-24 15:43:37.627710
250	1624.7	1639.588	1717767817.9174502	0.25	6677.0	07-06-24 15:43:37.917474
250	1624.28	1639.112	1717767818.2060122	0.25	6678.0	07-06-24 15:43:38.206039
250	1624.784	1638.256	1717767818.494871	0.25	6679.0	07-06-24 15:43:38.494907
250	1623.768	1637.988	1717767818.7786965	0.25	6680.0	07-06-24 15:43:38.778731
250	1624.864	1639.404	1717767819.0689535	0.25	6681.000000000001	07-06-24 15:43:39.068990
250	1625.54	1639.704	1717767819.357612	0.25	6682.0	07-06-24 15:43:39.357647
250	1625.764	1642.54	1717767819.64837	0.25	6683.0	07-06-24 15:43:39.648392
250	1627.288	1645.496	1717767819.937897	0.25	6684.0	07-06-24 15:43:39.937924
250	1627.624	1647.464	1717767820.2267463	0.25	6685.0	07-06-24 15:43:40.226781
250	1627.252	1647.868	1717767820.5159295	0.25	6686.000000000001	07-06-24 15:43:40.515971
250	1628.48	1648.512	1717767820.8049726	0.25	6687.0	07-06-24 15:43:40.804988
250	1629.684	1647.172	1717767821.092435	0.25	6688.0	07-06-24 15:43:41.092453
250	1628.656	1647.524	1717767821.3805	0.25	6689.0	07-06-24 15:43:41.380534
250	1630.148	1647.068	1717767821.6695397	0.25	6690.0	07-06-24 15:43:41.669575
250	1627.752	1645.724	1717767821.958037	0.25	6691.000000000001	07-06-24 15:43:41.958075
250	1627.092	1645.632	1717767822.2480884	0.25	6692.0	07-06-24 15:43:42.248107
250	1626.192	1646.668	1717767822.5371122	0.25	6693.0	07-06-24 15:43:42.537133
250	1626.3	1647.2	1717767822.826699	0.25	6694.0	07-06-24 15:43:42.826734
250	1625.932	1648.22	1717767823.1161673	0.25	6695.0	07-06-24 15:43:43.116195
250	1626.252	1649.912	1717767823.4026153	0.25	6696.000000000001	07-06-24 15:43:43.402655
250	1625.632	1647.024	1717767823.6919477	0.25	6697.0	07-06-24 15:43:43.691983
