# 
focus_V	pump_V	extractor_V	focus_I	pump_I	extractor_I	anode_I	time	Delay	
0	0	0	5.70902752e-10	4.05930984e-10	1.69835606e-10	0.133286432	1713169693.477591	0.1	15-04-24 10:28:13.477638
0	0	0	5.14931935e-10	3.5128758599999997e-10	6.51345172e-10	0.133288858	1713169694.2562313	0.1	15-04-24 10:28:14.256276
0	0	0	5.78365528e-10	2.46923619e-10	2.0530314e-11	0.133301361	1713169695.0311172	0.1	15-04-24 10:28:15.031167
0	0	0	3.47019482e-10	2.3900234000000003e-10	3.7139775e-10	0.133304123	1713169695.8091924	0.1	15-04-24 10:28:15.809240
0	0	0	5.820969159999999e-10	2.27545575e-10	3.9379354399999997e-10	0.13330054	1713169696.594569	0.1	15-04-24 10:28:16.594617
0	0	0	4.3657279000000004e-10	2.9525684599999997e-10	3.45269324e-10	0.133300727	1713169697.3762546	0.1	15-04-24 10:28:17.376308
0	0	0	4.4403556600000004e-10	2.06869854e-10	4.75911454e-10	0.133449491	1713169698.151241	0.1	15-04-24 10:28:18.151290
0	0	0	4.4776695400000003e-10	2.23831238e-10	3.60199853e-10	0.133339579	1713169698.9269207	0.1	15-04-24 10:28:18.926969
0	0	0	3.99258912e-10	2.96733864e-10	1.36241915e-10	0.133359098	1713169699.7030427	0.1	15-04-24 10:28:19.703096
0	0	0	5.00006383e-10	3.4649919200000004e-10	1.6237034100000001e-10	0.133369585	1713169700.4767418	0.1	15-04-24 10:28:20.476790
0	0	0	4.77618056e-10	3.29985338e-10	3.49001956e-10	0.133362793	1713169701.256141	0.1	15-04-24 10:28:21.256195
0	0	0	5.55977201e-10	7.742484940000001e-10	8.30511522e-10	0.13341105	1713169702.032977	0.1	15-04-24 10:28:22.033030
0	0	0	7.35083817e-10	-3.07684314e-11	8.60372581e-10	0.13337705	1713169702.8098314	0.1	15-04-24 10:28:22.809882
0	0	0	4.25378627e-10	3.5773234300000003e-10	2.8927983899999997e-10	0.133368839	1713169703.5970786	0.1	15-04-24 10:28:23.597134
0	0	0	5.55977201e-10	2.0163388699999998e-10	1.25044018e-10	0.13337216	1713169704.3741288	0.1	15-04-24 10:28:24.374180
0	0	0	4.25378627e-10	4.6178306299999995e-10	2.70616678e-10	0.133370481	1713169705.1547468	0.1	15-04-24 10:28:25.154798
0	0	0	5.11200547e-10	2.69076654e-10	1.69835606e-10	0.133388433	1713169705.9307547	0.1	15-04-24 10:28:25.930805
0	0	0	5.373202620000001e-10	2.77132409e-10	9.89155922e-11	0.133399256	1713169706.7079096	0.1	15-04-24 10:28:26.707957
0	0	0	5.18663323e-10	3.0425273e-10	4.5351566000000006e-10	0.133390187	1713169707.486587	0.1	15-04-24 10:28:27.486639
0	0	0	4.8881222e-10	3.9219238500000004e-10	4.29261078e-11	0.133400525	1713169708.2616692	0.1	15-04-24 10:28:28.261729
0	0	0	4.58961117e-10	1.84090911e-10	5.80425158e-10	0.133409893	1713169709.0414257	0.1	15-04-24 10:28:29.041473
0	0	0	3.99258912e-10	1.70306986e-10	8.02524307e-11	0.133420716	1713169709.8156662	0.1	15-04-24 10:28:29.815721
0	0	0	4.70155281e-10	1.97024689e-10	5.58029365e-10	0.133424448	1713169710.595357	0.1	15-04-24 10:28:30.595411
0	0	0	4.81349444e-10	2.61603284e-10	2.4075561900000004e-10	0.133428292	1713169711.373044	0.1	15-04-24 10:28:31.373100
0	0	0	4.6269250499999997e-10	2.34840984e-10	6.102862170000001e-10	0.133436317	1713169712.1510177	0.1	15-04-24 10:28:32.151068
0	0	0	4.55229729e-10	8.76420147e-10	6.326820109999999e-10	0.133448036	1713169712.9294453	0.1	15-04-24 10:28:32.929495
0	0	0	8.619510029999999e-10	3.13337765e-10	3.6766511799999997e-10	0.133447849	1713169713.7059581	0.1	15-04-24 10:28:33.706010
0	0	0	5.18663323e-10	1.60371974e-10	8.771769529999999e-11	0.1334346	1713169714.4800973	0.1	15-04-24 10:28:34.480150
0	0	0	4.21647239e-10	2.72836524e-10	4.4605039599999997e-10	0.133471548	1713169715.2672675	0.1	15-04-24 10:28:35.267318
0	0	0	4.3284140200000005e-10	-9.50780429e-11	1.25044018e-10	0.133519432	1713169716.0507188	0.1	15-04-24 10:28:36.050772
0	0	0	3.99258912e-10	3.20543242e-10	2.66884046e-10	0.133569332	1713169716.8290272	0.1	15-04-24 10:28:36.829079
0	0	0	5.447830369999999e-10	2.4795384599999997e-10	2.51953516e-10	0.13349786	1713169717.6117325	0.1	15-04-24 10:28:37.611784
0	0	0	4.55229729e-10	2.13270256e-10	4.16189337e-10	0.133479909	1713169718.3921611	0.1	15-04-24 10:28:38.392208
0	0	0	5.00006383e-10	2.78341456e-10	2.93012472e-10	0.133507153	1713169719.1745784	0.1	15-04-24 10:28:39.174631
0	0	0	4.58961117e-10	2.4397113e-10	1.9969666399999998e-10	0.133498569	1713169719.9562504	0.1	15-04-24 10:28:39.956305
0	0	0	5.00006383e-10	6.89867857e-11	2.93012472e-10	0.133496703	1713169720.7324545	0.1	15-04-24 10:28:40.732501
0	0	0	4.55229729e-10	2.91767365e-10	4.08724073e-10	0.133529771	1713169721.5084913	0.1	15-04-24 10:28:41.508541
0	0	0	4.92543608e-10	-2.58650141e-10	1.25044018e-10	0.13352365	1713169722.2869475	0.1	15-04-24 10:28:42.286994
0	0	0	2.6119756199999996e-10	5.52699022e-12	1.7730087e-10	0.13350525	1713169723.0644813	0.1	15-04-24 10:28:43.064532
0	0	0	3.8433336e-10	-1.50616159e-10	1.67976817e-11	0.133495957	1713169723.8393126	0.1	15-04-24 10:28:43.839360
0	0	0	3.47019482e-10	1.02034707e-09	1.0731326199999999e-09	0.133555112	1713169724.6230469	0.1	15-04-24 10:28:44.623110
0	0	0	6.15679406e-10	3.90134794e-10	5.43098835e-10	0.133606056	1713169725.4051447	0.1	15-04-24 10:28:45.405194
0	0	0	5.29857486e-10	1.58593596e-09	4.60980925e-10	0.133535219	1713169726.1810496	0.1	15-04-24 10:28:46.181100
0	0	0	1.02240068e-09	2.24666981e-09	5.87890423e-10	0.133542348	1713169726.9556055	0.1	15-04-24 10:28:46.955655
0	0	0	1.58210886e-09	8.180186519999999e-10	-8.0250758e-11	0.13355291	1713169727.739419	0.1	15-04-24 10:28:47.739459
0	0	0	4.4403556600000004e-10	6.17370426e-11	4.08724073e-10	0.133530032	1713169728.5413349	0.1	15-04-24 10:28:48.541393
0	0	0	5.78365528e-10	1.47618125e-10	2.1835982600000002e-10	0.133519134	1713169729.32982	0.1	15-04-24 10:28:49.329853
0	0	0	3.69407809e-10	1.6037274099999998e-10	9.518295990000001e-11	0.133550074	1713169730.1029406	0.1	15-04-24 10:28:50.102965
0	0	0	5.26126098e-10	2.02485351e-10	2.2582508999999998e-10	0.133545371	1713169730.8880463	0.1	15-04-24 10:28:50.888076
0	0	0	4.25378627e-10	2.36587167e-10	3.34071427e-10	0.133561606	1713169731.6662269	0.1	15-04-24 10:28:51.666253
0	0	0	4.8881222e-10	1.5124329e-10	1.81033503e-10	0.137126661	1713169732.452195	0.1	15-04-24 10:28:52.452238
0	0	0	-4.47766127e-10	3.57465324e-10	2.03429297e-10	0.181609563	1713169733.2291195	0.1	15-04-24 10:28:53.229144
0	0	0	5.55977201e-10	2.70510156e-10	2.1462719300000001e-10	0.181659574	1713169734.0052476	0.1	15-04-24 10:28:54.005269
0	0	0	5.11200547e-10	9.24377884e-11	-2.05286413e-11	0.181677713	1713169734.78445	0.1	15-04-24 10:28:54.784469
0	0	0	4.4776695400000003e-10	2.30456181e-10	3.63932485e-10	0.181373391	1713169735.5623882	0.1	15-04-24 10:28:55.562410
0	0	0	4.73886668e-10	3.63417737e-10	5.76692526e-10	0.181519804	1713169736.3393807	0.1	15-04-24 10:28:56.339430
0	0	0	5.63439977e-10	2.35468757e-10	1.69835606e-10	0.181517042	1713169737.1201956	0.1	15-04-24 10:28:57.120248
0	0	0	4.21647239e-10	3.61985639e-10	3.9193475499999996e-11	0.157385092	1713169737.9004061	0.1	15-04-24 10:28:57.900459
0	0	0	8.02248798e-10	2.07900876e-10	1.9223140000000002e-10	0.144292263	1713169738.6775398	0.1	15-04-24 10:28:58.677588
0	0	0	4.58961117e-10	3.30076712e-10	2.51953516e-10	0.140805397	1713169739.4583712	0.1	15-04-24 10:28:59.458424
0	0	0	5.78365528e-10	3.7254736e-10	9.16362065e-10	0.135592622	1713169740.2347894	0.1	15-04-24 10:29:00.234844
0	0	0	8.99264882e-10	8.37487427e-10	1.28776651e-10	0.0825603736	1713169741.013692	0.1	15-04-24 10:29:01.013738
0	0	0	3.0597421600000003e-10	1.74515482e-10	4.08724073e-10	0.0650518139	1713169741.7957876	0.1	15-04-24 10:29:01.795836
0	0	0	2.94780052e-10	5.32942801e-10	4.31119867e-10	0.0650563298	1713169742.5713308	0.1	15-04-24 10:29:02.571385
0	0	0	5.48514425e-10	1.64120777e-09	8.827683739999999e-10	0.0650653244	1713169743.3480794	0.1	15-04-24 10:29:03.348135
0	0	0	6.97769939e-10	-3.38444179e-10	-6.158759659999999e-11	0.0650699896	1713169744.127765	0.1	15-04-24 10:29:04.127814
0	0	0	4.4030417800000004e-10	2.31128481e-10	2.42629463e-11	0.0650784617	1713169744.9034662	0.1	15-04-24 10:29:04.903513
0	0	0	5.18663323e-10	4.06650063e-10	5.87890423e-10	0.0650897702	1713169745.6801703	0.1	15-04-24 10:29:05.680217
0	0	0	1.02986346e-09	-2.94630709e-10	1.9969666399999998e-10	0.0650930918	1713169746.4587696	0.1	15-04-24 10:29:06.458821
0	0	0	4.1335090700000003e-16	3.9943320800000004e-11	4.23654602e-10	0.0650979063	1713169747.2372773	0.1	15-04-24 10:29:07.237330
0	0	0	3.0970560400000003e-10	3.99668582e-10	4.04991441e-10	0.0651038032	1713169748.0126214	0.1	15-04-24 10:29:08.012671
0	0	0	7.910546349999999e-10	7.895574190000001e-10	8.193136250000001e-10	0.0651095134	1713169748.79753	0.1	15-04-24 10:29:08.797579
0	0	0	3.43288094e-10	2.82594826e-10	2.10894561e-10	0.0651111556	1713169749.579005	0.1	15-04-24 10:29:09.579057
0	0	0	5.4105165e-10	3.02062421e-10	2.96745104e-10	0.06512071	1713169750.3564796	0.1	15-04-24 10:29:10.356527
0	0	0	5.48514425e-10	-1.9715830599999999e-10	-7.48391939e-10	0.0651246661	1713169751.1315057	0.1	15-04-24 10:29:11.131559
0	0	0	3.65676421e-10	7.077044350000001e-10	3.34071427e-10	0.0651311601	1713169751.9091468	0.1	15-04-24 10:29:11.909196
0	0	0	8.88070718e-10	4.4352694e-10	3.78863014e-10	0.0651368703	1713169752.6872714	0.1	15-04-24 10:29:12.687317
0	0	0	7.05232714e-10	2.6741624599999997e-11	2.4075561900000004e-10	0.0651388857	1713169753.4653819	0.1	15-04-24 10:29:13.465433
0	0	0	5.820969159999999e-10	3.38715483e-10	4.27387234e-10	0.0651404905	1713169754.2437658	0.1	15-04-24 10:29:14.243818
0	0	0	5.00006383e-10	-1.06488353e-10	-8.771602259999999e-11	0.06514635	1713169755.0275865	0.1	15-04-24 10:29:15.027639
